# {"t_start": 1733579369.3844423, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,595.996191
-50.0,50,596.112664
0.0,50,596.20074
-50.0,50,596.289309
-50.0,50,596.390109
-50.0,50,596.472252
-50.0,50,597.777845
-50.0,50,599.149178
-50.0,50,600.491432
-50.0,50,601.837093
-50.0,50,603.184845
-50.0,50,604.518772
0.0,50,605.861333
-50.0,50,607.195636
-50.0,50,608.550864
-50.0,50,609.898016
-50.0,50,610.009326
-50.0,50,610.10218
-50.0,50,610.21353
-50.0,50,610.325736
-50.0,50,610.414384
-50.0,50,610.518851
-50.0,50,610.606384
-50.0,50,610.70606
-50.0,50,610.793467
-50.0,50,610.87917
-50.0,50,612.171416
-50.0,50,613.516938
-50.0,50,614.851499
-50.0,50,616.185439
-50.0,50,617.517856
-50.0,50,618.865211
-50.0,50,620.203518
-50.0,50,621.60361
-50.0,50,622.948538
-50.0,50,624.299317
-50.0,50,624.413384
-50.0,50,624.524221
-50.0,50,624.614561
-50.0,50,624.705126
-50.0,50,624.793937
-50.0,50,624.887406
-50.0,50,624.977013
-50.0,50,625.089426
-50.0,50,625.178328
-50.0,50,625.268339
-50.0,50,626.56674
-50.0,50,627.992479
-50.0,50,629.338984
-50.0,50,630.687435
-50.0,50,632.091064
-50.0,50,633.424267
-50.0,50,634.76103
-50.0,50,636.10167
-50.0,50,637.439695
-50.0,50,638.817972
-50.0,50,638.914532
-50.0,50,639.007059
-50.0,50,639.100014
-50.0,50,639.191627
-50.0,50,639.282055
-50.0,50,639.370651
-50.0,50,639.471282
-50.0,50,639.569991
-50.0,50,639.679622
-50.0,50,639.776442
-50.0,50,641.077981
-50.0,50,642.445708
-50.0,50,643.821935
-50.0,50,645.156542
-50.0,50,646.49275
-50.0,50,647.841082
-50.0,50,649.208227
-50.0,50,650.559168
-50.0,50,651.889097
-50.0,50,653.244695
-50.0,50,653.3424
-50.0,50,653.435504
-50.0,50,653.534175
-50.0,50,653.624928
-50.0,50,653.713337
-50.0,50,653.802906
-50.0,50,653.891706
-50.0,50,653.989717
-50.0,50,654.095295
-50.0,50,654.186078
-50.0,50,655.487458
-50.0,50,656.820377
-50.0,50,658.171574
-50.0,50,659.514787
-50.0,50,660.863222
-50.0,50,662.224333
-50.0,50,663.553856
-50.0,50,664.884383
-50.0,50,666.239131
-50.0,50,667.506466
-50.0,50,667.59563
0.0,50,667.680755
-50.0,50,667.767371
-50.0,50,667.852852
-50.0,50,667.939327
-50.0,50,668.031308
-50.0,50,668.180677
-50.0,50,668.273629
-50.0,50,668.374138
-50.0,50,668.465972
-50.0,50,669.628375
-50.0,50,670.773293
-50.0,50,671.921436
-50.0,50,673.068026
-50.0,50,674.212515
-50.0,50,675.378783
-50.0,50,676.572156
-50.0,50,677.72513
-50.0,50,678.910697
-50.0,50,680.229906
-50.0,50,680.327364
-50.0,50,680.423814
-50.0,50,680.532502
-50.0,50,680.642377
-50.0,50,680.74288
-50.0,50,680.831083
-50.0,50,680.926689
-50.0,50,681.017117
-50.0,50,681.136529
-50.0,50,681.223684
-50.0,50,682.557461
-50.0,50,683.909594
-50.0,50,685.262501
-50.0,50,686.609338
-50.0,50,688.060955
-50.0,50,689.417648
-50.0,50,690.762228
-50.0,50,692.111996
-50.0,50,693.445295
-50.0,50,694.798492
0.0,50,694.895196
-50.0,50,695.003557
-50.0,50,695.096565
-50.0,50,695.200194
-50.0,50,695.299761
-50.0,50,695.388177
-50.0,50,695.476899
-50.0,50,695.580122
-50.0,50,695.683806
-50.0,50,695.766797
-50.0,50,697.068613
-50.0,50,698.402622
0.0,50,699.736622
-50.0,50,701.079463
-50.0,50,702.416861
-50.0,50,703.781098
-50.0,50,705.110741
-50.0,50,706.440248
-50.0,50,707.780367
-50.0,50,709.19439
-50.0,50,709.301635
-50.0,50,709.411763
-50.0,50,709.500644
-50.0,50,709.59178
-50.0,50,709.700672
-50.0,50,709.791768
-50.0,50,709.878433
-50.0,50,709.976218
-50.0,50,710.067837
-50.0,50,710.154042
-50.0,50,711.462272
-50.0,50,712.796985
-50.0,50,714.1541
-50.0,50,715.491297
-50.0,50,716.816099
-50.0,50,718.172797
-50.0,50,719.524809
-50.0,50,720.863896
-50.0,50,722.210972
-50.0,50,723.561419
-50.0,50,723.675854
-50.0,50,723.767932
-50.0,50,723.861102
-50.0,50,723.95896
-50.0,50,724.059985
-50.0,50,724.150548
-50.0,50,724.240354
-50.0,50,724.347243
-50.0,50,724.435584
-50.0,50,724.518296
-50.0,50,725.813342
-50.0,50,727.156577
-50.0,50,728.504993
-50.0,50,729.850178
-50.0,50,731.186851
-50.0,50,732.520721
-50.0,50,733.850947
-50.0,50,735.189892
-50.0,50,736.541449
-50.0,50,737.940506
-50.0,50,738.037436
-50.0,50,738.142936
-50.0,50,738.233124
-50.0,50,738.322337
-50.0,50,738.413047
-50.0,50,738.524945
-50.0,50,738.614219
-50.0,50,738.714002
-50.0,50,738.800865
-50.0,50,738.882565
-50.0,50,740.185904
-50.0,50,741.529721
-50.0,50,742.862466
-50.0,50,744.192827
-50.0,50,745.526854
-50.0,50,746.857293
-50.0,50,748.278548
-50.0,50,749.654663
-50.0,50,751.038357
-50.0,50,752.41208
-50.0,50,752.511095
-50.0,50,752.620806
-50.0,50,752.713172
-50.0,50,752.808109
-50.0,50,752.899066
-50.0,50,752.992503
-50.0,50,753.098274
-50.0,50,753.186414
-50.0,50,753.278636
-50.0,50,753.370555
-50.0,50,754.705516
-50.0,50,756.068001
-50.0,50,757.431766
-50.0,50,758.83876
-50.0,50,760.187296
-50.0,50,761.523406
0.0,50,762.852353
-50.0,50,764.18918
-50.0,50,765.522409
-50.0,50,766.876617
-50.0,50,766.975963
-50.0,50,767.069485
-50.0,50,767.159676
-50.0,50,767.24784
-50.0,50,767.35697
-50.0,50,767.453373
-50.0,50,767.545223
-50.0,50,767.632017
-50.0,50,767.718324
-50.0,50,767.806911
-50.0,50,769.131802
-50.0,50,770.488391
-50.0,50,771.842424
-50.0,50,773.167951
0.0,50,774.518014
-50.0,50,775.863364
-50.0,50,777.200948
-50.0,50,778.569286
-50.0,50,779.896764
-50.0,50,781.244491
-50.0,50,781.347044
-50.0,50,781.445782
-50.0,50,781.539233
-50.0,50,781.63475
-50.0,50,781.731092
-50.0,50,781.824878
-50.0,50,781.920842
-50.0,50,782.023463
0.0,50,782.109483
-50.0,50,782.198013
-50.0,50,783.482518
-50.0,50,784.822779
-50.0,50,786.149801
-50.0,50,787.479058
-50.0,50,788.835567
-50.0,50,790.170855
-50.0,50,791.501143
-50.0,50,792.828392
-50.0,50,794.15488
-50.0,50,795.517981
-50.0,50,795.615345
-50.0,50,795.713709
-50.0,50,795.815932
-50.0,50,795.919917
-50.0,50,796.027752
-50.0,50,796.114899
-50.0,50,796.208943
-50.0,50,796.29885
-50.0,50,796.399037
-50.0,50,796.482642
-50.0,50,797.803173
-50.0,50,799.205062
-50.0,50,800.534661
-50.0,50,801.878809
-50.0,50,803.226733
-50.0,50,804.558036
-50.0,50,805.88916
-50.0,50,807.305969
0.0,50,808.648882
-50.0,50,809.996754
-50.0,50,810.097662
-50.0,50,810.191397
-50.0,50,810.284958
-50.0,50,810.376226
-50.0,50,810.46743
-50.0,50,810.571674
-50.0,50,810.661113
0.0,50,810.747853
-50.0,50,810.836906
-50.0,50,810.92172
-50.0,50,812.21016
-50.0,50,813.544265
-50.0,50,814.875589
-50.0,50,816.208572
0.0,50,817.54235
-50.0,50,818.889849
-50.0,50,820.21477
-26.0,50,821.554092
-50.0,50,822.891023
-50.0,50,824.240059
-50.0,50,824.337608
-50.0,50,824.435197
-50.0,50,824.530322
-50.0,50,824.620869
-50.0,50,824.709668
-50.0,50,824.802938
-50.0,50,824.890203
-50.0,50,824.980616
-50.0,50,825.076616
-50.0,50,825.162811
-44.0,50,826.459542
-50.0,50,827.806768
-50.0,50,829.159847
-50.0,50,830.510687
-50.0,50,831.851482
-50.0,50,833.2317
0.0,50,834.623667
-50.0,50,836.013799
