# {"t_start": 1745263611.6502566, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,513.562948
-50.0,50,514.924086
-50.0,50,516.295357
-50.0,50,517.677309
-50.0,50,519.058439
-50.0,50,519.157081
-50.0,50,519.261699
-50.0,50,519.368917
-50.0,50,519.458974
-50.0,50,519.567304
-50.0,50,519.654476
-50.0,50,519.741573
-50.0,50,519.829319
-50.0,50,519.915916
-50.0,50,520.000777
-50.0,50,521.343873
0.0,50,522.71742
-50.0,50,524.084339
-50.0,50,525.469721
-50.0,50,526.83658
-50.0,50,528.216971
-50.0,50,529.582457
-50.0,50,530.957771
-50.0,50,532.322779
-50.0,50,533.704317
-50.0,50,533.801538
-50.0,50,533.896145
-50.0,50,533.999468
-50.0,50,534.088243
-50.0,50,534.177071
-50.0,50,534.264293
-50.0,50,534.361065
-50.0,50,534.446005
-50.0,50,534.540482
-50.0,50,534.623184
-50.0,50,535.977191
-50.0,50,537.382804
-50.0,50,538.74663
-50.0,50,540.109671
-50.0,50,541.472395
-50.0,50,542.832161
-50.0,50,544.321436
-50.0,50,545.752007
-50.0,50,547.382941
-50.0,50,549.018504
-50.0,50,549.123358
-50.0,50,549.283505
-50.0,50,549.3912
-50.0,50,549.492875
-50.0,50,549.586682
-50.0,50,549.674851
-50.0,50,549.777165
-50.0,50,549.867179
-50.0,50,549.96573
-50.0,50,550.052498
-50.0,50,551.441634
-50.0,50,552.848818
-50.0,50,554.27132
-50.0,50,555.658519
-50.0,50,557.084694
-50.0,50,558.473332
-50.0,50,559.918894
-50.0,50,561.323487
-50.0,50,562.840103
-50.0,50,564.267438
-50.0,50,564.371096
-50.0,50,564.477735
-50.0,50,564.598353
-50.0,50,564.696149
-50.0,50,564.801895
-50.0,50,564.892649
-50.0,50,564.983262
-50.0,50,565.08264
-50.0,50,565.175407
-50.0,50,565.264746
-50.0,50,566.609401
-50.0,50,568.035339
-50.0,50,569.556067
-50.0,50,570.937235
-50.0,50,572.340667
-50.0,50,573.754882
-50.0,50,575.221916
-50.0,50,576.643842
