epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
148,0.84168714,0.120609246,0.2030314,0.10022068,1490.0,-17.832983,0.1,1490.0,0.2
149,0.84174895,0.120543085,0.20303878,0.10080268,1500.0,-20.872631,0.1,1500.0,0.2
150,0.84174514,0.120371826,0.20303254,0.10071962,1510.0,-16.498764,0.2,1510.0,0.2
151,0.8417959,0.1204231,0.20300137,0.10078547,1520.0,-10.09833,0.3,1520.0,0.1
152,0.8417926,0.120290816,0.20301624,0.10091582,1530.0,-10.094284,0.4,1530.0,0.3
153,0.84186524,0.120199315,0.20303322,0.10079354,1540.0,-23.158548,0.1,1540.0,0.1
154,0.8419338,0.12014496,0.20308308,0.10100616,1550.0,-20.706478,0.3,1550.0,0.0
155,0.84194684,0.12008498,0.20307866,0.101081684,1560.0,-19.59756,0.1,1560.0,0.2
156,0.8419669,0.12003508,0.20306607,0.10101258,1570.0,-6.2475305,0.5,1570.0,0.1
157,0.841988,0.12006014,0.20306249,0.10103569,1580.0,-16.57703,0.1,1580.0,0.1
158,0.8420706,0.12003586,0.2030915,0.10114898,1590.0,-13.141719,0.0,1590.0,0.3
159,0.84217435,0.11994764,0.203111,0.10115127,1600.0,-23.185495,0.2,1600.0,0.0
160,0.8421407,0.119944036,0.20312266,0.10132513,1610.0,-11.331308,0.3,1610.0,0.2
161,0.8421312,0.11989968,0.20312375,0.101413354,1620.0,-23.69776,0.1,1620.0,0.0
162,0.84219927,0.120016456,0.20315331,0.101742506,1630.0,-10.394956,0.2,1630.0,0.1
163,0.8421022,0.120341085,0.20316237,0.10201219,1640.0,-14.439494,0.3,1640.0,0.0
164,0.84208876,0.1203093,0.20316158,0.10245618,1650.0,-19.291204,0.2,1650.0,0.1
165,0.8421521,0.12081742,0.20323813,0.10306996,1660.0,-15.939072,0.2,1660.0,0.0
166,0.8421192,0.12067962,0.20320232,0.103149086,1670.0,-12.750018,0.3,1670.0,0.5
167,0.8420003,0.12061549,0.2031739,0.10353851,1680.0,-11.80811,0.5,1680.0,0.2
168,0.84214884,0.12077699,0.20323892,0.10384978,1690.0,-8.700415,0.4,1690.0,0.3
169,0.8422034,0.12073308,0.20324965,0.10394738,1700.0,-15.816717,0.3,1700.0,0.4
170,0.8421685,0.120972194,0.20321825,0.10419284,1710.0,-18.228016,0.1,1710.0,0.1
171,0.84215784,0.120893456,0.20320629,0.10421846,1720.0,-10.151136,0.5,1720.0,0.2
172,0.84224945,0.12112156,0.2032495,0.10448525,1730.0,-13.1443615,0.4,1730.0,0.2
173,0.8422596,0.12107843,0.20322731,0.104948625,1740.0,-16.30684,0.3,1740.0,0.3
174,0.8422479,0.12098387,0.2031883,0.10523915,1750.0,-18.542019,0.3,1750.0,0.5
175,0.8421896,0.120882414,0.20316926,0.10517302,1760.0,-23.422268,0.1,1760.0,0.3
176,0.8422076,0.12076665,0.20317015,0.105357125,1770.0,-10.311433,0.2,1770.0,0.2
177,0.84210616,0.12065434,0.20312949,0.10558257,1780.0,-14.001224,0.3,1780.0,0.2
178,0.84211874,0.12058113,0.20315416,0.105994985,1790.0,-21.435925,0.0,1790.0,0.4
179,0.8421721,0.12084589,0.20320359,0.10640207,1800.0,-15.484419,0.5,1800.0,0.3
180,0.842055,0.121205986,0.20319597,0.10655525,1810.0,-11.463652,0.6,1810.0,0.3
181,0.84208584,0.1212014,0.2032195,0.106860496,1820.0,-15.244354,0.3,1820.0,0.1
182,0.84212357,0.121123075,0.20323977,0.10685574,1830.0,-12.431902,0.3,1830.0,0.3
183,0.8421449,0.121037245,0.20326437,0.10695294,1840.0,-12.640097,0.4,1840.0,0.2
184,0.84216386,0.12097395,0.2032693,0.10718046,1850.0,-22.545055,0.3,1850.0,0.4
185,0.84213495,0.12103849,0.20326732,0.10743723,1860.0,-14.632463,0.5,1860.0,0.3
186,0.8422322,0.12098207,0.20327644,0.10736782,1870.0,-21.988483,0.2,1870.0,0.2
187,0.84217626,0.12111583,0.20325665,0.10749802,1880.0,-21.149458,0.2,1880.0,0.1
188,0.8421886,0.12108644,0.20326827,0.10765061,1890.0,-13.08199,0.3,1890.0,0.1
189,0.8421614,0.121196814,0.20326181,0.10780058,1900.0,-19.216755,0.2,1900.0,0.2
190,0.842177,0.12110645,0.20328817,0.10824769,1910.0,-17.935856,0.2,1910.0,0.3
191,0.84213185,0.12129074,0.20327792,0.10842592,1920.0,-13.640773,0.3,1920.0,0.3
192,0.8421336,0.12144744,0.2032923,0.10844217,1930.0,-18.466717,0.1,1930.0,0.1
193,0.84215117,0.121362425,0.20330505,0.10840999,1940.0,-12.328151,0.3,1940.0,0.3
194,0.84209085,0.121674515,0.20330884,0.108591154,1950.0,-19.264282,0.1,1950.0,0.3
195,0.8421631,0.121605255,0.20333208,0.10863623,1960.0,-20.62004,0.4,1960.0,0.3
196,0.8422072,0.121519424,0.2033535,0.108927876,1970.0,-11.877344,0.0,1970.0,0.3
197,0.84218854,0.12159047,0.20336777,0.10929905,1980.0,-18.855228,0.2,1980.0,0.2
198,0.84223455,0.12148968,0.2033884,0.10948909,1990.0,-11.532763,0.4,1990.0,0.3
199,0.84219736,0.12150913,0.20338574,0.10957681,2000.0,-18.95178,0.2,2000.0,0.2
200,0.8421683,0.1214506,0.20336208,0.10991757,2010.0,-17.022198,0.3,2010.0,0.2
201,0.8421686,0.12152503,0.20335938,0.110048816,2020.0,-17.330328,0.1,2020.0,0.1
202,0.8421888,0.1214669,0.20336248,0.11033133,2030.0,-20.38684,0.3,2030.0,0.3
203,0.84220004,0.12141026,0.20336144,0.110420816,2040.0,-15.666536,0.3,2040.0,0.3
204,0.84213036,0.12146009,0.20332406,0.110594206,2050.0,-14.568164,0.4,2050.0,0.4
205,0.8421271,0.12164262,0.20334467,0.11088763,2060.0,-9.427638,0.2,2060.0,0.1
206,0.8421545,0.12190551,0.20337361,0.11111661,2070.0,-18.002996,0.3,2070.0,0.2
207,0.8421092,0.121893905,0.2033898,0.11137939,2080.0,-21.825445,0.3,2080.0,0.0
208,0.8420846,0.12199551,0.2034136,0.11148657,2090.0,-17.466496,0.2,2090.0,0.2
209,0.8420407,0.122116916,0.20344195,0.111789055,2100.0,-15.838629,0.3,2100.0,0.2
210,0.8420622,0.12208426,0.2034679,0.11188087,2110.0,-25.35348,0.1,2110.0,0.2
211,0.8419986,0.12202159,0.20344456,0.11197218,2120.0,-19.805805,0.3,2120.0,0.2
212,0.8419935,0.12203776,0.20345913,0.11203441,2130.0,-26.564596,0.1,2130.0,0.2
213,0.84203005,0.12199866,0.20348093,0.1119758,2140.0,-21.909067,0.4,2140.0,0.4
214,0.84204483,0.12194351,0.20348857,0.11203377,2150.0,-14.281172,0.4,2150.0,0.2
215,0.842046,0.121926166,0.20348991,0.112058,2160.0,-23.73191,0.3,2160.0,0.1
216,0.8419953,0.1218357,0.20349114,0.112210386,2170.0,-16.96155,0.2,2170.0,0.2
217,0.8419752,0.12181135,0.20348635,0.11219617,2180.0,-14.904257,0.4,2180.0,0.3
218,0.84207696,0.121760905,0.20351762,0.11220625,2190.0,-21.150166,0.2,2190.0,0.3
219,0.8421183,0.121774696,0.20351973,0.1121615,2200.0,-15.257849,0.3,2200.0,0.3
220,0.8421414,0.12178009,0.2035198,0.1120954,2210.0,-10.522932,0.4,2210.0,0.2
221,0.8422143,0.121695615,0.20354211,0.11215544,2220.0,-10.04621,0.4,2220.0,0.3
222,0.8421981,0.121621214,0.203563,0.112231314,2230.0,-17.210611,0.2,2230.0,0.0
223,0.8422392,0.12163802,0.20354952,0.11231287,2240.0,-23.197418,0.3,2240.0,0.3
224,0.8422408,0.12158674,0.203557,0.11233875,2250.0,-16.588017,0.6,2250.0,0.2
225,0.8422346,0.121762305,0.2035511,0.11255342,2260.0,-14.354442,0.5,2260.0,0.1
226,0.8422785,0.12191283,0.20357826,0.11272076,2270.0,-11.028099,0.3,2270.0,0.3
227,0.84221506,0.12196138,0.20356703,0.112752095,2280.0,-17.409657,0.5,2280.0,0.4
228,0.84223944,0.12186264,0.20356941,0.11272196,2290.0,-16.160223,0.3,2290.0,0.5
229,0.84218746,0.12201977,0.20353366,0.112898625,2300.0,-16.283354,0.5,2300.0,0.2
230,0.84218806,0.121947505,0.2035442,0.112902924,2310.0,-21.70124,0.3,2310.0,0.4
231,0.84219164,0.12188425,0.2035128,0.112935245,2320.0,-7.1970053,0.7,2320.0,0.4
232,0.84224504,0.12177095,0.20352775,0.11316916,2330.0,-19.01469,0.2,2330.0,0.2
233,0.8421857,0.12182029,0.20353547,0.11328392,2340.0,-23.076847,0.2,2340.0,0.0
234,0.8422176,0.12169366,0.2035705,0.113472365,2350.0,-14.722366,0.5,2350.0,0.2
235,0.84228915,0.12165141,0.20358385,0.11347966,2360.0,-20.356821,0.3,2360.0,0.1
236,0.84228784,0.12167158,0.20359856,0.113839015,2370.0,-19.399956,0.3,2370.0,0.3
237,0.8422745,0.12160797,0.20359181,0.11378024,2380.0,-10.251509,0.6,2380.0,0.3
238,0.84230185,0.12153282,0.20359716,0.11366936,2390.0,-19.663582,0.3,2390.0,0.2
239,0.8423221,0.12151002,0.20361489,0.11374526,2400.0,-26.29603,0.3,2400.0,0.2
240,0.8423233,0.1214033,0.20362307,0.11369783,2410.0,-11.086253,0.4,2410.0,0.3
241,0.8423502,0.12140265,0.2036214,0.113775924,2420.0,-20.31087,0.3,2420.0,0.2
242,0.84237593,0.12132818,0.20363908,0.11404355,2430.0,-15.086123,0.3,2430.0,0.5
243,0.84239674,0.12130028,0.20362677,0.114043504,2440.0,-12.093416,0.3,2440.0,0.4
244,0.84234196,0.12130823,0.20358202,0.11426262,2450.0,-16.564854,0.6,2450.0,0.3
245,0.84237194,0.1212393,0.20358425,0.114180945,2460.0,-14.181902,0.4,2460.0,0.3
246,0.842289,0.12117877,0.2035652,0.114096515,2470.0,-6.4525414,0.5,2470.0,0.5
247,0.8422582,0.12127177,0.2035569,0.1141515,2480.0,-10.786525,0.3,2480.0,0.3
248,0.842196,0.12120548,0.203538,0.11431472,2490.0,-13.321818,0.4,2490.0,0.3
249,0.8421696,0.12150941,0.20354158,0.1146887,2500.0,-20.333803,0.4,2500.0,0.2
250,0.8421881,0.12144798,0.20354553,0.114801034,2510.0,-23.628658,0.2,2510.0,0.2
251,0.8421657,0.121361434,0.20354569,0.11471965,2520.0,-16.387264,0.2,2520.0,0.4
252,0.8422131,0.12134144,0.20355631,0.11463759,2530.0,-27.837576,0.3,2530.0,0.1
253,0.8422465,0.12137059,0.20355517,0.11459823,2540.0,-14.313275,0.4,2540.0,0.2
254,0.8422194,0.12135643,0.20356955,0.114754274,2550.0,-7.75437,0.8,2550.0,0.3
255,0.8422744,0.12158659,0.20358853,0.114937,2560.0,-16.64478,0.3,2560.0,0.3
256,0.84230375,0.12151936,0.20358153,0.11492543,2570.0,-17.499477,0.3,2570.0,0.3
257,0.8423229,0.121612124,0.20357431,0.11514785,2580.0,-26.038746,0.3,2580.0,0.2
258,0.84234303,0.12150512,0.20357549,0.1154835,2590.0,-26.661835,0.0,2590.0,0.5
259,0.84237057,0.121538006,0.2035861,0.11548305,2600.0,-7.5318727,0.5,2600.0,0.4
260,0.8423932,0.12152517,0.20361851,0.11561895,2610.0,-20.842823,0.3,2610.0,0.6
261,0.84241295,0.12151709,0.20361593,0.11548792,2620.0,-9.60853,0.5,2620.0,0.3
262,0.84240246,0.121585034,0.20361337,0.11561462,2630.0,-28.190958,0.1,2630.0,0.3
263,0.8423794,0.12154881,0.20363459,0.11578256,2640.0,-25.323713,0.4,2640.0,0.4
264,0.8423593,0.12155961,0.20362897,0.11582832,2650.0,-20.17378,0.4,2650.0,0.3
265,0.84237,0.12154728,0.20364742,0.11596403,2660.0,-18.149004,0.4,2660.0,0.1
266,0.8423986,0.12145241,0.20366485,0.11609862,2670.0,-19.334612,0.5,2670.0,0.2
267,0.84243244,0.12147432,0.20366675,0.11607261,2680.0,-16.130184,0.4,2680.0,0.3
268,0.8424759,0.12142887,0.20369586,0.1161703,2690.0,-15.909197,0.4,2690.0,0.1
269,0.84247065,0.121462025,0.20369293,0.11627239,2700.0,-16.670376,0.5,2700.0,0.2
270,0.8425296,0.12144176,0.20370556,0.11631182,2710.0,-19.11148,0.3,2710.0,0.4
271,0.8425396,0.12138226,0.20368819,0.116363615,2720.0,-12.379317,0.5,2720.0,0.2
272,0.8425386,0.121306635,0.20368159,0.11650519,2730.0,-18.598076,0.6,2730.0,0.4
273,0.84251565,0.121266186,0.20367093,0.116535485,2740.0,-21.646954,0.5,2740.0,0.2
274,0.8425588,0.121230625,0.2036901,0.11655651,2750.0,-13.440802,0.5,2750.0,0.1
275,0.84257275,0.12117624,0.20371777,0.11667,2760.0,-26.005274,0.3,2760.0,0.4
276,0.84261537,0.12117639,0.20373206,0.11661586,2770.0,-24.77072,0.3,2770.0,0.3
277,0.84257394,0.121524155,0.20373303,0.11674279,2780.0,-30.420895,0.2,2780.0,0.3
