# {"t_start": 1745264905.2853973, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,688.02103
-50.0,50,688.105399
-50.0,50,689.487671
-50.0,50,690.902934
-50.0,50,692.316585
-50.0,50,693.743628
-50.0,50,695.173044
-50.0,50,696.621451
-50.0,50,698.026673
-50.0,50,699.433949
-50.0,50,700.858617
-50.0,50,702.294745
-50.0,50,702.414556
0.0,50,702.515981
-50.0,50,702.614143
-50.0,50,702.724035
-50.0,50,702.821911
-50.0,50,702.924863
-50.0,50,703.017072
-50.0,50,703.10781
-50.0,50,703.200827
-50.0,50,703.294217
-50.0,50,704.751221
-50.0,50,706.430238
-50.0,50,707.884742
-50.0,50,709.326545
-50.0,50,710.768408
-50.0,50,712.286824
-50.0,50,714.073844
-50.0,50,715.674225
-50.0,50,717.18583
-50.0,50,718.986499
-50.0,50,719.11041
-50.0,50,719.221326
-50.0,50,719.336752
-50.0,50,719.433189
0.0,50,719.527636
-50.0,50,719.616204
-50.0,50,719.723549
-50.0,50,719.815129
-50.0,50,719.906841
-50.0,50,719.997928
-50.0,50,721.390129
-50.0,50,723.057079
0.0,50,724.505728
-50.0,50,725.920208
-50.0,50,728.191283
-50.0,50,730.099009
-50.0,50,731.912716
-50.0,50,733.386393
-50.0,50,735.344547
-50.0,50,736.916176
-50.0,50,737.051231
-50.0,50,737.185093
-50.0,50,737.280247
-50.0,50,737.382734
-50.0,50,737.479693
-50.0,50,737.571614
-50.0,50,737.664747
-50.0,50,737.755303
0.0,50,737.855855
-50.0,50,737.949533
-50.0,50,739.33601
-50.0,50,740.767595
-50.0,50,742.173341
-50.0,50,743.652424
-50.0,50,745.231761
-50.0,50,746.737454
-50.0,50,748.167347
-50.0,50,749.60175
-50.0,50,751.159628
-50.0,50,752.782555
-50.0,50,752.908479
-50.0,50,753.029692
-50.0,50,753.146513
-50.0,50,753.257117
-50.0,50,753.349036
-50.0,50,753.458136
-50.0,50,753.579052
-50.0,50,753.675729
-50.0,50,753.796519
-50.0,50,753.896178
-50.0,50,755.294425
-50.0,50,756.773654
-50.0,50,758.211415
-50.0,50,759.598009
-50.0,50,760.984133
-50.0,50,762.40623
-50.0,50,764.215871
-50.0,50,765.835831
-50.0,50,767.269433
-50.0,50,768.687972
-50.0,50,768.791324
-50.0,50,768.887365
-50.0,50,769.044381
-50.0,50,769.145168
-50.0,50,769.238271
-50.0,50,769.343323
-50.0,50,769.434629
-50.0,50,769.535609
-50.0,50,769.628092
-50.0,50,769.715149
-50.0,50,771.160521
-50.0,50,772.701257
-50.0,50,774.22588
-50.0,50,776.27703
-50.0,50,777.701126
-50.0,50,779.080548
-50.0,50,780.500361
-50.0,50,781.951533
-50.0,50,783.43336
-50.0,50,785.250827
-50.0,50,785.410414
-50.0,50,785.53226
-50.0,50,785.669433
-50.0,50,785.780239
-50.0,50,785.901173
-50.0,50,786.022047
-50.0,50,786.125391
-50.0,50,786.232971
-50.0,50,786.338465
-50.0,50,786.431081
-50.0,50,788.00671
-50.0,50,789.522107
-50.0,50,791.08873
-50.0,50,792.703708
-50.0,50,794.947895
-50.0,50,796.524271
-50.0,50,798.692397
-50.0,50,800.22295
-50.0,50,802.090316
-50.0,50,803.615769
-50.0,50,803.718709
-50.0,50,803.826467
-50.0,50,803.936261
0.0,50,804.029678
-50.0,50,804.126123
-50.0,50,804.218524
0.0,50,804.311179
-50.0,50,804.401404
-50.0,50,804.502166
-50.0,50,804.586191
-50.0,50,806.054065
-50.0,50,807.446909
-50.0,50,808.93508
0.0,50,811.334534
-50.0,50,812.884489
-50.0,50,814.32985
-50.0,50,815.746286
-50.0,50,817.170521
